Designator,Mid X,Mid Y,Rotation,Layer
A1,92.456,-117.856,90.0,top
BZ1,66.05,-74.93,0.0,top
BZ2,119.38,-74.93,0.0,top
D1,61.976,-114.808,90.0,top
DOWN1,46.99,-109.755,90.0,top
EX1,151.725,-98.425,90.0,top
EX2,137.795,-109.855,90.0,top
LEFT1,33.02,-98.425,90.0,top
MAINSOCKET2,71.755,-93.345,180.0,bottom
MENU1,123.825,-98.425,90.0,top
OL1,92.71,-70.485,90.0,top
R1,61.976,-120.523,180.0,top
RIGHT1,60.96,-98.425,90.0,top
SELECT1,137.875,-86.795,90.0,top
SW6,61.976,-124.968,0.0,top
UP1,46.99,-86.795,90.0,top
